Tanggal,Harga_Beras,Inflasi,Prediksi
19/02/2023,12500,0.0547,
20/02/2023,12500,0.0547,
21/02/2023,12500,0.0547,
22/02/2023,12500,0.0547,
23/02/2023,12500,0.0547,
24/02/2023,12500,0.0547,
25/02/2023,12500,0.0547,
26/02/2023,12500,0.0547,
27/02/2023,12500,0.0547,
28/02/2023,12500,0.0547,
01/03/2023,12450,0.0497,
02/03/2023,12450,0.0497,
03/03/2023,12450,0.0497,
04/03/2023,12450,0.0497,
05/03/2023,12450,0.0497,
06/03/2023,12450,0.0497,
07/03/2023,12450,0.0497,
08/03/2023,12450,0.0497,
09/03/2023,12450,0.0497,
10/03/2023,12450,0.0497,
11/03/2023,12450,0.0497,
12/03/2023,12450,0.0497,
13/03/2023,12450,0.0497,
14/03/2023,12450,0.0497,
15/03/2023,12450,0.0497,
16/03/2023,12450,0.0497,
17/03/2023,12450,0.0497,
18/03/2023,12450,0.0497,
19/03/2023,12450,0.0497,
20/03/2023,12450,0.0497,
21/03/2023,12450,0.0497,
22/03/2023,12450,0.0497,
23/03/2023,12450,0.0497,
24/03/2023,12450,0.0497,
25/03/2023,12450,0.0497,
26/03/2023,12450,0.0497,
27/03/2023,12450,0.0497,
28/03/2023,12450,0.0497,
29/03/2023,12450,0.0497,
30/03/2023,12450,0.0497,
31/03/2023,12450,0.0497,
01/04/2023,12450,0.0433,
02/04/2023,12450,0.0433,
03/04/2023,12450,0.0433,
04/04/2023,12450,0.0433,
05/04/2023,12450,0.0433,
06/04/2023,12450,0.0433,
07/04/2023,12500,0.0433,
08/04/2023,12500,0.0433,
09/04/2023,12500,0.0433,
10/04/2023,12450,0.0433,
11/04/2023,12450,0.0433,
12/04/2023,12450,0.0433,
13/04/2023,12450,0.0433,
14/04/2023,12450,0.0433,
15/04/2023,12450,0.0433,
16/04/2023,12450,0.0433,
17/04/2023,12450,0.0433,
18/04/2023,12450,0.0433,
19/04/2023,12450,0.0433,
20/04/2023,12450,0.0433,
21/04/2023,12450,0.0433,
22/04/2023,12450,0.0433,
23/04/2023,12450,0.0433,
24/04/2023,12450,0.0433,
25/04/2023,12450,0.0433,
26/04/2023,12450,0.0433,
27/04/2023,12450,0.0433,
28/04/2023,12450,0.0433,
29/04/2023,12450,0.0433,
30/04/2023,12450,0.0433,
01/05/2023,12600,0.04,
02/05/2023,12450,0.04,
03/05/2023,12450,0.04,
04/05/2023,12450,0.04,
05/05/2023,12450,0.04,
06/05/2023,12450,0.04,
07/05/2023,12450,0.04,
08/05/2023,12450,0.04,
09/05/2023,12450,0.04,
10/05/2023,12450,0.04,
11/05/2023,12450,0.04,
12/05/2023,12450,0.04,
13/05/2023,12450,0.04,
14/05/2023,12450,0.04,
15/05/2023,12450,0.04,
16/05/2023,12450,0.04,
17/05/2023,12450,0.04,
18/05/2023,12450,0.04,
19/05/2023,12450,0.04,
20/05/2023,12450,0.04,
21/05/2023,12450,0.04,
22/05/2023,12450,0.04,
23/05/2023,12450,0.04,
24/05/2023,12450,0.04,
25/05/2023,12450,0.04,
26/05/2023,12450,0.04,
27/05/2023,12450,0.04,
28/05/2023,12450,0.04,
29/05/2023,12450,0.04,
30/05/2023,12400,0.04,
31/05/2023,12400,0.04,
01/06/2023,12400,0.0352,
02/06/2023,12400,0.0352,
03/06/2023,12400,0.0352,
04/06/2023,12400,0.0352,
05/06/2023,12400,0.0352,
06/06/2023,12400,0.0352,
07/06/2023,12400,0.0352,
08/06/2023,12400,0.0352,
09/06/2023,12400,0.0352,
10/06/2023,12400,0.0352,
11/06/2023,12400,0.0352,
12/06/2023,12400,0.0352,
13/06/2023,12400,0.0352,
14/06/2023,12400,0.0352,
15/06/2023,12400,0.0352,
16/06/2023,12400,0.0352,
17/06/2023,12400,0.0352,
18/06/2023,12400,0.0352,
19/06/2023,12400,0.0352,
20/06/2023,12400,0.0352,
21/06/2023,12400,0.0352,
22/06/2023,12400,0.0352,
23/06/2023,12400,0.0352,
24/06/2023,12400,0.0352,
25/06/2023,12400,0.0352,
26/06/2023,12400,0.0352,
27/06/2023,12400,0.0352,
28/06/2023,12400,0.0352,
29/06/2023,12450,0.0352,
30/06/2023,12450,0.0352,
01/07/2023,12450,0.0308,
02/07/2023,12450,0.0308,
03/07/2023,12400,0.0308,
04/07/2023,12400,0.0308,
05/07/2023,12400,0.0308,
06/07/2023,12400,0.0308,
07/07/2023,12400,0.0308,
08/07/2023,12400,0.0308,
09/07/2023,12400,0.0308,
10/07/2023,12400,0.0308,
11/07/2023,12450,0.0308,
12/07/2023,12450,0.0308,
13/07/2023,12450,0.0308,
14/07/2023,12450,0.0308,
15/07/2023,12450,0.0308,
16/07/2023,12450,0.0308,
17/07/2023,12450,0.0308,
18/07/2023,12450,0.0308,
19/07/2023,12450,0.0308,
20/07/2023,12450,0.0308,
21/07/2023,12450,0.0308,
